CustomIntervall;; linecount Zugang Europaviertel; linecount Bahnsteig01; linecount Bahnsteig02; linecount Bahnsteig03; linecount Bahnsteig04; linecount Bahnsteig05; linecount Bahnsteig06; linecount Bahnsteig07; linecount Bahnsteig08; Querbahnsteig; STG_QB04_Steg01; STG_Bonatz10_Steg01; STG_QB12_Steg02; STG_Bonatz13_Steg02; STG_Bonatz04; linecount Zugang Infoturm Stuttgart; linecount Zugang Schlossgarten; (AB) linecount Zugang Schlossgarten+ITS;Bahnsteige Gesamt angepasst;Steg 02 Gesamt
01.01.2023 00:00;;362;155;68;39;253;193;0;303;333;1344;0;0;0;0;942;0;49;0;1.344;942
01.01.2023 01:00;;482;251;94;108;550;138;0;406;432;1979;0;0;0;0;874;6;71;0;1.979;874
01.01.2023 02:00;;402;136;103;75;257;164;0;490;284;1509;0;0;0;0;628;4;42;0;1.509;628
01.01.2023 03:00;;363;144;109;89;356;97;0;222;287;1304;0;0;0;0;611;2;45;0;1.304;611
01.01.2023 04:00;;430;193;81;56;273;263;0;271;289;1426;0;0;0;0;689;2;31;0;1.426;689
01.01.2023 05:00;;543;235;225;167;412;278;0;711;179;2207;0;0;0;0;899;4;32;0;2.207;899
01.01.2023 06:00;;629;291;223;123;521;414;0;319;188;2079;0;0;0;0;629;0;23;0;2.079;629
01.01.2023 07:00;;656;323;228;270;285;497;0;213;547;2363;0;0;0;0;531;0;56;0;2.363;531
01.01.2023 08:00;;688;436;107;299;318;382;0;216;487;2245;0;0;0;0;511;5;63;0;2.245;511
01.01.2023 09:00;;859;538;218;625;423;459;0;173;612;3048;0;0;0;0;540;0;85;0;3.048;540
01.01.2023 10:00;;1186;866;226;509;308;1101;0;255;699;3964;0;0;0;0;865;6;122;0;3.964;865
01.01.2023 11:00;;1476;1017;452;283;316;1209;0;600;961;4838;0;0;0;0;1086;18;147;0;4.838;1.086
01.01.2023 12:00;;2091;1362;740;965;530;1294;0;1018;1207;7116;0;0;0;0;1565;33;198;0;7.116;1.565
01.01.2023 13:00;;2026;1352;750;1290;757;1042;0;648;1252;7091;0;0;0;0;1642;29;261;0;7.091;1.642
01.01.2023 14:00;;2380;1651;1163;1653;1153;1636;0;1240;1715;10211;0;0;0;0;2308;27;371;0;10.211;2.308
01.01.2023 15:00;;2389;1631;990;1436;821;1791;0;1206;1416;9291;0;0;0;0;2429;29;367;0;9.291;2.429
01.01.2023 16:00;;2056;1456;819;1017;532;1562;0;793;1380;7559;0;0;0;0;2019;20;286;0;7.559;2.019
01.01.2023 17:00;;1673;1520;850;767;634;1639;0;627;1365;7402;0;0;0;0;1801;16;224;0;7.402;1.801
01.01.2023 18:00;;1887;1951;1107;1053;825;1751;0;875;1584;9146;0;0;0;0;1959;11;243;0;9.146;1.959
01.01.2023 19:00;;1794;1756;746;1209;722;1854;0;1124;952;8363;0;0;0;0;1518;4;192;0;8.363;1.518
01.01.2023 20:00;;1293;1013;381;680;782;576;0;985;1088;5505;0;0;0;0;1314;7;179;0;5.505;1.314
01.01.2023 21:00;;775;329;240;262;247;504;0;458;692;2732;0;0;0;0;895;5;86;0;2.732;895
01.01.2023 22:00;;630;170;18;563;186;500;0;198;498;2133;0;0;0;0;750;2;106;0;2.133;750
01.01.2023 23:00;;374;104;81;112;110;309;0;226;391;1333;0;0;0;0;357;0;64;0;1.333;357
02.01.2023 00:00;;298;77;12;16;72;222;0;75;246;720;0;0;0;0;188;2;37;0;720;188
02.01.2023 01:00;;80;35;14;21;13;117;0;43;27;270;0;0;0;0;69;0;5;0;270;69
02.01.2023 02:00;;91;41;6;17;9;141;0;8;13;235;0;0;0;0;80;0;11;0;235;80
02.01.2023 03:00;;35;36;13;15;3;19;0;12;50;148;0;0;0;0;53;0;5;0;148;53
02.01.2023 04:00;;238;36;40;36;25;232;0;53;193;615;0;0;0;0;204;0;20;0;615;204
02.01.2023 05:00;;398;111;101;175;20;367;0;145;186;1105;0;0;0;0;319;0;28;0;1.105;319
02.01.2023 06:00;;1242;540;623;465;631;585;0;330;335;3509;0;0;0;0;871;2;109;0;3.509;871
02.01.2023 07:00;;1749;644;535;758;438;1045;0;660;1155;5235;0;0;0;0;1282;4;209;0;5.235;1.282
02.01.2023 08:00;;1718;962;714;824;355;1286;0;619;884;5644;0;0;0;0;1303;5;178;0;5.644;1.303
02.01.2023 09:00;;1503;885;481;679;467;971;0;232;1319;5034;0;0;0;0;1220;32;132;0;5.034;1.220
02.01.2023 10:00;;2064;1551;1307;1067;742;1561;0;313;1533;8074;0;0;0;0;1804;91;166;0;8.074;1.804
02.01.2023 11:00;;2298;1300;886;1458;376;1502;0;1028;1664;8214;0;0;0;0;2106;33;223;0;8.214;2.106
02.01.2023 12:00;;2161;1474;938;665;576;1428;0;950;1090;7121;0;0;0;0;2015;67;279;0;7.121;2.015
02.01.2023 13:00;;2475;1435;1411;1699;576;1157;0;914;1654;8846;0;0;0;0;2222;80;259;0;8.846;2.222
02.01.2023 14:00;;2578;1652;985;1749;1129;1614;0;928;1904;9961;0;0;0;0;2588;49;297;0;9.961;2.588
02.01.2023 15:00;;2693;1654;1249;901;1169;1627;0;1452;1807;9859;0;0;0;0;2709;52;240;0;9.859;2.709
02.01.2023 16:00;;2829;1533;1147;1148;813;1859;0;1205;1746;9451;0;0;0;0;2845;32;334;0;9.451;2.845
02.01.2023 17:00;;2165;1315;1093;868;373;1194;0;1035;2144;8022;0;0;0;0;2615;15;236;0;8.022;2.615
02.01.2023 18:00;;2065;1351;803;750;784;1281;0;1115;1775;7859;0;0;0;0;2281;19;164;0;7.859;2.281
02.01.2023 19:00;;1433;935;540;478;860;819;0;1110;1391;6133;0;0;0;0;1982;12;137;0;6.133;1.982
02.01.2023 20:00;;1280;793;635;570;738;640;0;773;1375;5524;0;0;0;0;1669;14;144;0;5.524;1.669
02.01.2023 21:00;;851;335;577;245;206;404;0;403;743;2913;0;0;0;0;834;2;105;0;2.913;834
02.01.2023 22:00;;609;206;36;325;139;360;0;274;862;2202;0;0;0;0;802;6;75;0;2.202;802
02.01.2023 23:00;;407;93;27;214;148;211;0;171;360;1224;0;0;0;0;381;2;42;0;1.224;381
03.01.2023 00:00;;282;57;18;24;80;228;0;67;284;758;0;0;0;0;266;0;26;0;758;266
03.01.2023 01:00;;80;43;5;10;6;58;0;19;8;149;0;0;0;0;23;0;8;0;149;23
03.01.2023 02:00;;72;50;13;6;10;90;0;4;17;190;0;0;0;0;50;0;11;0;190;50
03.01.2023 03:00;;60;48;11;13;1;2;0;3;101;179;0;0;0;0;42;2;8;0;179;42
03.01.2023 04:00;;197;44;61;55;20;133;0;53;129;495;0;0;0;0;113;4;15;0;495;113
03.01.2023 05:00;;499;112;185;155;42;370;0;245;199;1308;0;0;0;0;287;2;30;0;1.308;287
03.01.2023 06:00;;1319;466;597;459;628;520;0;484;455;3609;0;0;0;0;715;1;124;0;3.609;715
03.01.2023 07:00;;1676;530;306;591;500;931;0;543;962;4363;0;0;0;0;1162;6;219;0;4.363;1.162
