date,hour,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-01-01,0,9.4,6.3,81.0,0.0,0.0,230.0,3.6,9.0,1020.5,0.0,3.0
2023-01-01,1,8.9,6.2,83.0,0.0,0.0,340.0,4.0,8.0,1020.6,0.0,2.0
2023-01-01,2,13.1,7.1,67.0,0.0,0.0,220.0,3.2,9.0,1019.7,0.0,2.0
2023-01-01,3,13.2,7.2,67.0,0.0,0.0,190.0,9.7,23.0,1019.7,0.0,2.0
2023-01-01,4,13.9,7.2,64.0,0.0,0.0,190.0,12.2,26.0,1020.2,0.0,2.0
2023-01-01,5,13.0,6.8,66.0,0.0,0.0,200.0,8.6,26.0,1020.3,0.0,2.0
2023-01-01,6,11.9,6.6,70.0,0.0,0.0,190.0,6.8,13.0,1021.1,0.0,2.0
2023-01-01,7,10.8,6.2,73.0,0.0,0.0,170.0,9.4,15.0,1021.5,0.0,2.0
2023-01-01,8,11.2,6.3,72.0,0.0,0.0,170.0,7.9,16.0,1021.7,18.0,2.0
2023-01-01,9,9.4,6.1,80.0,0.0,0.0,120.0,4.7,11.0,1022.8,22.0,2.0
2023-01-01,10,11.6,7.1,74.0,0.0,0.0,130.0,6.1,11.0,1022.4,56.0,2.0
2023-01-01,11,14.6,6.7,59.0,0.0,0.0,160.0,6.8,11.0,1021.9,60.0,2.0
2023-01-01,12,16.1,6.8,54.0,0.0,0.0,140.0,5.4,9.0,1020.9,60.0,2.0
2023-01-01,13,16.9,6.4,50.0,0.0,0.0,140.0,4.7,15.0,1020.2,60.0,2.0
2023-01-01,14,17.0,6.2,49.0,0.0,0.0,170.0,4.0,11.0,1019.9,60.0,2.0
2023-01-01,15,15.7,7.5,58.0,0.0,0.0,150.0,7.2,15.0,1020.0,60.0,2.0
2023-01-01,16,13.0,7.9,71.0,0.0,0.0,120.0,4.0,5.0,1020.4,18.0,2.0
2023-01-01,17,13.0,7.2,68.0,0.0,0.0,130.0,4.0,8.0,1020.1,0.0,2.0
2023-01-01,18,11.4,6.3,71.0,0.0,0.0,180.0,5.4,9.0,1020.0,0.0,2.0
2023-01-01,19,7.6,4.9,83.0,0.0,0.0,170.0,2.9,5.0,1020.8,0.0,2.0
2023-01-01,20,10.8,6.0,72.0,0.0,0.0,160.0,5.4,11.0,1020.1,0.0,2.0
